Recording,Event name,Unit number,Global Pre-event M,Global Pre-event SD,Event M,Event Z-Score,sig,Event windows
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,274,20.781512605042018,14.874918071303531,21.257142857142856,0.031975319112406905,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,286,11.344537815126051,16.75199071315442,10.085714285714285,-0.07514471270708624,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,302,15.915966386554622,20.64855167441462,16.82857142857143,0.04419704860692992,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,304,16.025210084033613,13.67600006935658,13.942857142857143,-0.1522633029113782,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,307,3.8739495798319328,3.2734085795314707,3.257142857142857,-0.18842949411996726,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,35,51.33613445378151,15.630328905567147,49.714285714285715,-0.10376293098465335,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,40,39.10084033613445,13.165651105879052,39.02857142857143,-0.00548920117826532,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,54,23.310924369747898,28.213099019575957,28.37142857142857,0.1793671867868676,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,59,8.857142857142858,9.597168449959748,3.2857142857142856,-0.5805283715169072,not sig,35
20240318_170933_long_comp_subj_4-3_t6b6_merged.rec,win,91,13.697478991596638,11.956893600299637,12.571428571428571,-0.09417583344053912,not sig,35
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,13,80.50420168067227,33.593935514528255,61.77777777777778,-0.5574346564663714,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,22,269.43697478991595,34.437042459669975,288.0,0.5390423765868873,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,23,243.72268907563026,20.243029454811552,256.77777777777777,0.6449177348326418,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,39,59.97478991596638,23.63676888754594,56.0,-0.16816130558608938,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,45,6.025210084033613,4.600807720232804,9.0,0.6465799261473724,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,50,7.285714285714286,9.963077093050362,5.777777777777778,-0.15135248817740785,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,54,54.588235294117645,26.64784720669494,42.666666666666664,-0.4473745490576002,not sig,9
20240319_160457_long_comp_subj_4-2_t5b5_merged.rec,high_comp,58,105.0,47.91817254971439,83.66666666666667,-0.44520339984168456,not sig,9
